review_id,review_text,actual_stars,predicted_stars,explanation,json_valid,error
h_y-oqC4xEECVeB09nQ8ZQ,"An upscale mexican restaurant in the area seemed like the best thing to have happened to me. I planned my visit for a quieter evening, and reviewed the menu again and again. 

However, upon our arrival I thought twice immediately. The parking was iffy, and the place didn't seem to stand up to the signage. Perhaps the art was not to my liking, honestly not a piece stands out in my memory. 


We were seated immediately. 

Our waiter seemed a little off, not to mention the fact that he was insanely",1,1,"The review describes a highly negative experience with poor service, long wait times, and disappointing food, along with a dismissive attitude towards the restaurant, indicating strong dissatisfaction and a 1-star rating.",True,
s0dRHCNMgMjDdlvG6XZ66Q,"So i thought with all the controversy surrounding this place, I would support the first amendment with my wallet. Unfortunately our experience here was subpar to say the least. We came in on a 3pm on Saturday and there was only one other couple inside. We were literally outnumbered by the people working there. I say this because somehow, despite this fact, the service was HORRENDOUS. I mean we got our order out fine, but our waitress dissappeared after that. At one point I had to almost get refi",1,1,"The review describes a highly negative experience with poor service, overpriced food, and dissatisfaction, indicating a strong negative sentiment consistent with a 1-star rating.",True,
tTGXjt1QZcBnfNmrYLCYKA,"The only reason 1 star can be given is the flavor choices and taste.  The SMALLEST wings I have ever seen, they must be off of baby chicks.  I thought it was getting punked, actually LOL.  Never to be back",1,1,"The review contains strong negative language, criticism of food quality, and a clear statement that the reviewer will not return, indicating a very dissatisfied experience warranting a 1-star rating.",True,
iOABod6-D0_5jcy0U1-7KQ,"I am leaving this store angry and can't resist writing a review! 

The staff is incredibly useless....if you can actually find someone to help you. The store is huge with very little signs to guide you. Therefore I always wander aimlessly looking for the one simple thing I stopped in for (even though I tell myself I will never go back) with no one to help me. 

Today they were out of an item I bought last week and need more of to finish my project. I asked the only 100 year old lady I could find",1,1,"The review expresses strong dissatisfaction with the store's staff, organization, and product availability, ending with a firm decision never to return, indicating a very negative experience.",True,
Us61PFnfQTMrX-xR3dd2jw,"We came here for dinner for me and reverse happy hour for my wife, we ordered our appetizers and after finishing them and looking over the menu for a few minutes we were ready to jump into the overpriced entrees. We were then informed that we couldn't order dinner. Maybe when they see someone coming in and telling them they are...here for dinner...they might give them a heads up that the kitchen Is closing so we can order our meals and not be told five minutes after it did close..fourth time we'",1,1,"The review expresses strong dissatisfaction with the service, mentioning multiple issues such as being unable to order dinner, poor service, and a negative overall experience, indicating a 1-star rating.",True,
qQcvmt1tvMR3F5OolsIRPg,"Had some time to kill before the Ultimate pleY Date Yelp event, and I'd wanted to share my love of Nobuo's Dark chocolate mousse with green tea ice cream and sugared orange peels with my happy-go-lucky cousin, who has never been here before, so we stopped by at 5:17p to find that Nobuo wouldn't open till 5:30p, so we waited outside in the comfortable patio.

After watching a couple of employees add lanterns to their outdoor umbrellaed tables, I noticed the ""OPEN"" sign on the front door, so we en",1,1,"The review is overwhelmingly negative, citing poor service, unappetizing dessert presentation, and a dismissive attitude from staff. The reviewer explicitly states they will not return and would not recommend the restaurant, indicating a very dissatisfied experience.",True,
-7qEdFzHUZqwn_g25tjReg,"I was really disappointed with my local Baja Fresh tonight.  The lobby, salsa bar and even drink station were very dirty and unkept.  To top that off my salad had old dark colored guacamole and limp lettuce.

I hope they read this and will do a better job at cleaning up!",1,2,"The review expresses disappointment with cleanliness and quality issues, indicating a negative experience, but does not contain extreme hostility or complete dissatisfaction that would warrant a 1-star rating.",True,
Nr-6xqBN9XqBJXnCToYYKA,I brought my sweet sister in law shopping at this Forever 21 location.  She had a bag full of goodies (several hundreds of dollars worth) from H&M.  She stopped at Forever 21 and  sat her bag on the ground right beside her while she tried on a pair of shoes.  Her H&M bag was stolen during that brief moment that the bag was not in her arms.....and while this certainly was not the responsibility of Forever 21....we were so disappointed in the way the Forever 21 staff reacted. They did not call sec,1,1,"The review describes a highly negative experience, including theft, poor staff response, and a messy store environment, indicating strong dissatisfaction and a very low rating.",True,
dB62OZ5qf6S4X-Zu9FcUqA,"My part Jewish friend has been raving about this deli so come payday we went to check it out. Ive been in Phoenix a little over a month and have been getting sick from the food here...diarrhea lots, shit my pants once... anyway, i like to eat in divey non-american cuisine. This place aint seedy enough for me, I suppose.

I did not get ill from the food here

However....

 $12.95 for a sandwich, fries, and a dollop of soggy coleslaw ???

I kept hearing from my friend, his mom and the waitress tha",1,2,"The review expresses clear dissatisfaction with the food quality, high prices, and overall experience, indicating a negative experience. While the reviewer does mention some positive aspects like the fries, the overall tone and complaints suggest a 2-star rating.",True,
MNFvGY1zUVGQlImzqvMFQw,"10:30pm on a Saturday night.  My friend and I try our second attempt at sushi for the night (see my review of Pearl for the first).  Place is hopping.  We take a seat at the sushi bar.

The Waitress:  ""Are you girls going to be ordering sushi?""
Me: I have a sushi menu in my hand, ""yes.""
Waitress:  ""Would you mind putting it in soon because they want to go home too.""
Me: What the fuck, bitch. ""Uh, ok""

Dear Ra Waitress,

I'm sorry if I kept you or any other employess, especially since I finished ",1,1,"The review is highly negative, expressing strong dissatisfaction with poor service, rude behavior, and a ruined atmosphere, indicating a very negative experience warranting a 1-star rating.",True,
dzAwZL5AELxjhlP0fm7foQ,"There was hair in the food. Not just 1 but 2 in the same Bhel Puri dish.

The whole experience was pretty bad. There is no indication of how you order your food and when you finally figure it out the food does not taste good. We checked sodas on the order sheet and when no sodas showed up we asked if we were supposed to go and find our own sodas from the front of the store and were told that that was the case.

Also the guy at the counter is down right dismissive.

Pani Puri was OK
Papdi Chaat -",1,1,"The review contains multiple serious complaints including hair in the food, poor service, and unappetizing flavors, indicating a very negative experience that warrants a 1-star rating.",True,
kwseo734U9LSQDCEqSNN2g,"It's a supermarket.  I just go in buy what I need and get out.  It's convenient that there's a wells fargo in there, but there's one across the street as well.  

To the negative experience.....
My sister was speaking to my niece, but not in english.  Some caucasian lady walks by and rudely says, ""Can't you speak english?""  WTF?!?  Is this taking SB 1070 in your own hands?  It's like you're trying to make every race hate you even more.  I will run into this arrogance wherever I go.

I'm not done",1,1,"The review contains strong negative language, explicit complaints about racial profiling, rude behavior, and a generally hostile tone, indicating a very negative experience that warrants a 1-star rating.",True,
_UdpFKVDGxie0oAMHajvEA,"I play squash racquet's, a sport favored by the east coast ""elites"" from them Ivy League schools, those snooty Britishers and the Pakistani leisure class:) 

Why they let me play, I'll never know:)

Last evening, we had a little tourney in which a group of us from the Village traveled to the outer reaches of Tempe to play a group from Lifetime Fitness:)

It was a jolly good, show, ever so much fun and our Village group gave the Lifetime group a bit of a ""Rodgering"":)

So it was with happy hearts",1,1,"The review is overwhelmingly negative, highlighting poor food quality, unpleasant environment, and overall dissatisfaction, which indicates a very negative experience deserving of a 1-star rating.",True,
QfdoE-XqEeCsttJH8g0ugQ,"I love Saddle Ranch for its casual night time festivities (including watching people ride the mechanical bull hehehe), but I cannot ignore the fact that the food was disgusting!

When I think of my meal this past Friday night, I think of two words: dry and cold. The spinach artichoke dip was just okay - a bit on the dry side and not very cheesy. The onion rings were just okay was well as the batter reminded me of the chicken nuggets at McDonald's, maybe even worse. The BBQ burger (turkey patty) ",1,2,"The review expresses enjoyment of the atmosphere and some positive aspects like desserts and drinks, but the overall tone is negative due to the poor quality of the food, describing it as disgusting, dry, and tasteless. This indicates a generally negative experience with some minor positive elements, leading to a 2-star rating.",True,
SYK_LgV8wDoezdu9acfz2w,"Ok, so I have to share my morning experience. But first I must start off by saying this: I'm no moron. Honest. 

So, this morning I stopped for gas. My tank was getting dangerously low and there was no way I'd make it to work. That's okay, for I allotted time this morning for re-filling my tank. From my casa, I turned East on Indian School, vaguely remembering there's a Quick Trip nearby. Perfect. I had stopped there before. 

But it wasn't a Quick Trip I saw at the corner of Central and Indian ",1,2,"The review expresses clear frustration and annoyance with the gas station's complicated and inconvenient process, indicating a negative experience. However, it does not contain strong or outright abusive language typical of a 1-star review, nor does it mention any positive aspects that would warrant a higher rating. The tone suggests dissatisfaction but not complete disappointment, leading to a 2-star prediction.",True,
